State,Number of CoCs,Overall Homeless ,Sheltered ES Homeless ,Sheltered TH Homeless ,Sheltered SH Homeless ,Sheltered Total Homeless ,Unsheltered Homeless ,Homeless Individuals ,Sheltered ES Homeless Individuals ,Sheltered TH Homeless Individuals ,Sheltered SH Homeless Individuals ,Sheltered Total Homeless Individuals ,Unsheltered Homeless Individuals ,Homeless People in Families ,Sheltered ES Homeless People in Families ,Sheltered TH Homeless People in Families ,Sheltered Total Homeless People in Families ,Unsheltered Homeless People in Families ,Homeless Family Households ,Sheltered ES Homeless Family Households ,Sheltered TH Homeless Family Households ,Sheltered Total Homeless Family Households ,Unsheltered Homeless Family Households ,Chronically Homeless ,Sheltered ES Chronically Homeless ,Sheltered SH Chronically Homeless ,Sheltered Total Chronically Homeless ,Unsheltered Chronically Homeless ,Chronically Homeless Individuals ,Sheltered ES Chronically Homeless Individuals ,Sheltered SH Chronically Homeless Individuals ,Sheltered Total Chronically Homeless Individuals ,Unsheltered Chronically Homeless Individuals ,Chronically Homeless People in Families ,Sheltered ES Chronically Homeless People in Families ,Sheltered Total Chronically Homeless People in Families ,Unsheltered Chronically Homeless People in Families ,Homeless Veterans ,Sheltered ES Homeless Veterans ,Sheltered TH Homeless Veterans ,Sheltered SH Homeless Veterans ,Sheltered Total Homeless Veterans ,Unsheltered Homeless Veterans ,Homeless Unaccompanied Youth (Under 25) ,Sheltered ES Homeless Unaccompanied Youth (Under 25) ,Sheltered TH Homeless Unaccompanied Youth (Under 25) ,Sheltered SH Homeless Unaccompanied Youth (Under 25) ,Sheltered Total Homeless Unaccompanied Youth (Under 25) ,Unsheltered Homeless Unaccompanied Youth (Under 25) ,Homeless Unaccompanied Youth Under 18 ,Sheltered ES Homeless Unaccompanied Youth Under 18 ,Sheltered TH Homeless Unaccompanied Youth Under 18 ,Sheltered SH Homeless Unaccompanied Youth Under 18 ,Sheltered Total Homeless Unaccompanied Youth Under 18 ,Unsheltered Homeless Unaccompanied Youth Under 18 ,Homeless Unaccompanied Youth Age 18-24 ,Sheltered ES Homeless Unaccompanied Youth Age 18-24 ,Sheltered TH Homeless Unaccompanied Youth Age 18-24 ,Sheltered SH Homeless Unaccompanied Youth Age 18-24 ,Sheltered Total Homeless Unaccompanied Youth Age 18-24 ,Unsheltered Homeless Unaccompanied Youth Age 18-24 ,Homeless Parenting Youth (Under 25) ,Sheltered ES Homeless Parenting Youth (Under 25) ,Sheltered TH Homeless Parenting Youth (Under 25) ,Sheltered Total Homeless Parenting Youth (Under 25) ,Unsheltered Homeless Parenting Youth (Under 25) ,Homeless Parenting Youth Under 18 ,Sheltered ES Homeless Parenting Youth Under 18 ,Sheltered TH Homeless Parenting Youth Under 18 ,Sheltered Total Homeless Parenting Youth Under 18 ,Unsheltered Homeless Parenting Youth Under 18 ,Homeless Parenting Youth Age 18-24 ,Sheltered ES Homeless Parenting Youth Age 18-24 ,Sheltered TH Homeless Parenting Youth Age 18-24 ,Sheltered Total Homeless Parenting Youth Age 18-24 ,Unsheltered Homeless Parenting Youth Age 18-24 ,Homeless Children of Parenting Youth ,Sheltered ES Homeless Children of Parenting Youth ,Sheltered TH Homeless Children of Parenting Youth ,Sheltered Total Homeless Children of Parenting Youth ,Unsheltered Homeless Children of Parenting Youth 
SD,1,"1,094",433,322,0,755,339,557,255,139,0,394,163,537,178,183,361,176,154,56,59,115,39,217,71,0,71,146,117,42,0,42,75,100,29,29,71,125,106,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,10,"9,528","3,421","2,881",19,"6,321","3,207","6,909","2,707","1,906",19,"4,632","2,277","2,619",714,975,"1,689",930,880,249,332,581,299,"2,219","1,144",18,"1,162","1,057","1,929","1,061",18,"1,079",850,290,83,83,207,991,728,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,12,"29,615","9,935","7,456",134,"17,525","12,090","20,758","6,259","3,288",134,"9,681","11,077","8,857","3,676","4,168","7,844","1,013","2,826","1,140","1,392","2,532",294,"5,535","2,057",111,"2,168","3,367","4,770","1,566",111,"1,677","3,093",765,491,491,274,"3,878","2,007","1,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3,"3,277","1,773","1,037",49,"2,859",418,"1,959","1,172",372,49,"1,593",366,"1,318",601,665,"1,266",52,406,189,202,391,15,454,300,49,349,105,347,219,49,268,79,107,81,81,26,327,290,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,16,"7,625","4,285","2,260",58,"6,603","1,022","4,532","2,823",706,58,"3,587",945,"3,093","1,462","1,554","3,016",77,984,469,490,959,25,"1,356",830,45,875,481,"1,262",752,45,797,465,94,78,78,16,719,625,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,1,482,68,51,0,119,363,444,46,35,0,81,363,38,22,16,38,0,11,7,4,11,0,87,0,0,0,87,87,0,0,0,87,0,0,0,0,33,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2,"1,454",959,307,4,"1,270",184,701,379,164,4,547,154,753,580,143,723,30,262,203,50,253,9,217,140,0,140,77,183,110,0,110,73,34,30,30,4,128,111,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,7,"17,760","5,969","6,684",54,"12,707","5,053","10,617","4,032","1,946",54,"6,032","4,585","7,143","1,937","4,738","6,675",468,"2,217",614,"1,467","2,081",136,"2,196","1,031",45,"1,076","1,120","1,927",910,45,955,972,269,121,121,148,"1,318","1,058",260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,4,"6,104","3,036","2,638",62,"5,736",368,"3,005","1,760",881,62,"2,703",302,"3,099","1,276","1,757","3,033",66,"1,016",420,574,994,22,521,359,24,383,138,449,289,24,313,136,72,70,70,2,552,528,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4,"2,240","1,100",501,11,"1,612",628,"1,544",750,277,11,"1,038",506,696,350,224,574,122,228,117,75,192,36,432,242,8,250,182,390,203,8,211,179,42,39,39,3,329,292,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1,953,292,209,0,501,452,677,245,61,0,306,371,276,47,148,195,81,84,11,44,55,29,244,116,0,116,128,221,116,0,116,105,23,0,0,23,137,110,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2,"1,784","1,139",500,0,"1,639",145,"1,209",848,261,0,"1,109",100,575,291,239,530,45,193,108,71,179,14,206,137,0,137,69,182,119,0,119,63,24,18,18,6,178,119,41,0,160,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,8,"4,561","1,851","1,636",31,"3,518","1,043","3,115","1,419",923,31,"2,373",742,"1,446",432,713,"1,145",301,457,141,216,357,100,729,257,26,283,446,618,219,26,245,373,111,38,38,73,542,251,199,0,450,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,6,"2,936","1,021",482,0,"1,503","1,433","2,303",775,295,0,"1,070","1,233",633,246,187,433,200,240,108,64,172,68,519,85,0,85,434,516,82,0,82,434,3,3,3,0,361,117,103,0,220,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,"10,495","4,291","3,595",40,"7,926","2,569","6,194","2,589","1,222",40,"3,851","2,343","4,301","1,702","2,373","4,075",226,"1,295",532,702,"1,234",61,959,297,19,316,643,904,284,19,303,601,55,13,13,42,858,244,386,5,635,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,40,"113,952","20,964","21,365",186,"42,515","71,437","90,765","14,114","10,557",186,"24,857","65,908","23,187","6,850","10,808","17,658","5,529","6,956","1,944","3,184","5,128","1,828","31,078","5,017",114,"5,131","25,947","28,200","4,303",114,"4,417","23,783","2,878",714,714,"2,164","12,096","1,599","2,852",6,"4,457","7,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3,"10,028","4,002","4,058",23,"8,083","1,945","5,573","2,849","1,163",23,"4,035","1,538","4,455","1,153","2,895","4,048",407,"1,317",352,835,"1,187",130,"1,621",747,0,747,874,"1,335",635,0,635,700,286,112,112,174,753,337,191,0,528,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,6,"4,450","2,481","1,050",0,"3,531",919,"3,069","1,730",513,0,"2,243",826,"1,381",751,537,"1,288",93,495,263,195,458,37,"1,215",847,0,847,368,"1,026",696,0,696,330,189,151,151,38,295,73,148,0,221,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,1,"7,748","5,754","1,598",0,"7,352",396,"3,953","2,828",729,0,"3,557",396,"3,795","2,926",869,"3,795",0,"1,231",907,324,"1,231",0,"2,029","1,694",0,"1,694",335,"1,609","1,274",0,"1,274",335,420,420,420,0,406,276,99,0,375,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1,901,435,429,0,864,37,584,318,236,0,554,30,317,117,193,310,7,104,40,62,102,2,91,82,0,82,9,88,79,0,79,9,3,3,3,0,93,39,50,0,89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28,"41,542","10,250","9,469",132,"19,851","21,691","28,730","7,319","5,435",132,"12,886","15,844","12,812","2,931","4,034","6,965","5,847","4,550",950,"1,277","2,227","2,323","7,989","1,798",105,"1,903","6,086","6,843","1,612",105,"1,717","5,126","1,146",186,186,960,"4,552",924,"1,466",34,"2,424","2,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,9,"16,521","4,441","3,773",0,"8,214","8,307","12,403","3,004","1,928",0,"4,932","7,471","4,118","1,437","1,845","3,282",836,"1,291",446,577,"1,023",268,"3,004",945,0,945,"2,059","2,645",862,0,862,"1,783",359,83,83,276,"1,443",271,376,0,647,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,1,"1,356",57,69,0,126,"1,230",332,16,21,0,37,295,"1,024",41,48,89,935,180,10,10,20,160,67,0,0,0,67,24,0,0,0,24,43,0,0,43,36,2,4,0,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2,"6,918","1,162","2,626",25,"3,813","3,105","3,750",481,658,25,"1,164","2,586","3,168",681,"1,968","2,649",519,790,168,495,663,127,"1,301",177,22,199,"1,102","1,109",123,22,145,964,192,54,54,138,593,60,182,5,247,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3,"3,122","1,387","1,539",0,"2,926",196,"1,544",884,484,0,"1,368",176,"1,578",503,"1,055","1,558",20,487,153,329,482,5,244,154,0,154,90,211,121,0,121,90,33,33,33,0,202,105,72,0,177,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2,"2,104",739,729,0,"1,468",636,"1,234",525,323,0,848,386,870,214,406,620,250,264,72,125,197,67,244,105,0,105,139,156,69,0,69,87,88,36,36,52,215,30,105,0,135,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,20,"13,107","5,031","6,281",97,"11,409","1,698","7,350","3,539","2,157",97,"5,793","1,557","5,757","1,492","4,124","5,616",141,"1,880",511,"1,313","1,824",56,"1,488",943,67,"1,010",478,"1,349",824,67,891,458,139,119,119,20,"1,234",317,593,3,913,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,3,"5,971","3,376","2,170",22,"5,568",403,"3,953","2,362","1,176",22,"3,560",393,"2,018","1,014",994,"2,008",10,654,342,309,651,3,596,470,15,485,111,542,418,15,433,109,54,52,52,2,725,252,435,0,687,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,5,"2,783","1,460","1,064",10,"2,534",249,"1,533",941,344,10,"1,295",238,"1,250",519,720,"1,239",11,395,174,217,391,4,320,211,1,212,108,290,183,1,184,106,30,28,28,2,393,104,252,0,356,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,3,"5,089","2,382","1,865",11,"4,258",831,"3,352","1,761","1,033",11,"2,805",547,"1,737",621,832,"1,453",284,564,202,294,496,68,727,496,3,499,228,614,421,3,424,190,113,75,75,38,600,255,303,0,558,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,9,"4,606","1,451","2,030",22,"3,503","1,103","3,444","1,141","1,201",22,"2,364","1,080","1,162",310,829,"1,139",23,376,109,259,368,8,776,259,3,262,514,743,229,3,232,511,33,30,30,3,437,106,223,3,332,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,18,"21,237","16,835","3,576",67,"20,478",759,"6,788","3,757","2,217",67,"6,041",747,"14,449","13,078","1,359","14,437",12,"4,781","4,275",502,"4,777",4,"3,311","2,952",54,"3,006",305,"1,590","1,231",54,"1,285",305,"1,721","1,721","1,721",0,"1,264",311,901,22,"1,234",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,16,"7,856","3,703","2,469",95,"6,267","1,589","4,980","2,470","1,307",95,"3,872","1,108","2,876","1,233","1,162","2,395",481,948,415,388,803,145,"1,740","1,066",69,"1,135",605,"1,515",928,69,997,518,225,138,138,87,654,246,307,2,555,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,2,"2,726","1,107","1,515",11,"2,633",93,"1,348",758,513,11,"1,282",66,"1,378",349,"1,002","1,351",27,388,108,268,376,12,244,213,5,218,26,218,195,5,200,18,26,18,18,8,152,82,56,0,138,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,21,"12,227","5,513","4,522",40,"10,075","2,152","7,535","3,742","2,134",40,"5,916","1,619","4,692","1,771","2,388","4,159",533,"1,521",550,780,"1,330",191,"1,293",806,19,825,468,"1,160",726,19,745,415,133,80,80,53,"1,122",372,609,13,994,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,10,"8,377","4,414","3,168",0,"7,582",795,"3,652","2,072",934,0,"3,006",646,"4,725","2,342","2,234","4,576",149,"1,422",642,741,"1,383",39,"1,235",889,0,889,346,885,562,0,562,323,350,327,327,23,317,137,126,0,263,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,8,"7,282","3,521","2,732",56,"6,309",973,"4,307","2,140","1,455",56,"3,651",656,"2,975","1,381","1,277","2,658",317,902,432,381,813,89,997,683,31,714,283,735,438,31,469,266,262,245,245,17,652,259,297,7,563,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,3,"2,226",732,673,0,"1,405",821,"1,714",559,374,0,933,781,512,173,299,472,40,179,60,105,165,14,282,79,0,79,203,275,74,0,74,201,7,5,5,2,279,64,157,0,221,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1,"1,745",471,440,0,911,834,"1,167",319,174,0,493,674,578,152,266,418,160,166,42,80,122,44,270,77,0,77,193,256,71,0,71,185,14,6,6,8,256,50,44,0,94,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12,"11,491","5,631","3,243",0,"8,874","2,617","7,498","3,963","1,775",0,"5,738","1,760","3,993","1,668","1,468","3,136",857,"1,303",561,471,"1,032",271,"1,431",720,0,720,711,"1,284",639,0,639,645,147,81,81,66,"1,164",458,524,0,982,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1,"1,258",639,155,0,794,464,886,439,87,0,526,360,372,200,68,268,104,120,63,25,88,32,115,101,0,101,14,111,97,0,97,14,4,4,4,0,151,63,54,0,117,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,3,"3,026","1,584","1,333",0,"2,917",109,"1,893","1,136",652,0,"1,788",105,"1,133",448,681,"1,129",4,347,136,210,346,1,426,397,0,397,29,365,336,0,336,29,61,61,61,0,241,89,135,0,224,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,3,"1,376",710,526,7,"1,243",133,795,464,205,7,676,119,581,246,321,567,14,213,88,119,207,6,338,279,7,286,52,301,244,7,251,50,37,35,35,2,171,65,96,1,162,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,17,"11,671","7,692","2,989",55,"10,736",935,"6,446","4,325","1,156",55,"5,536",910,"5,225","3,367","1,833","5,200",25,"1,716","1,106",602,"1,708",8,"1,399",996,11,"1,007",392,"1,150",749,11,760,390,249,247,247,2,630,265,286,3,554,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2,"2,746","1,409",909,0,"2,318",428,"1,804","1,090",339,0,"1,429",375,942,319,570,889,53,306,123,164,287,19,709,490,0,490,219,617,458,0,458,159,92,32,32,60,318,149,109,0,258,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,3,"8,582","3,582","1,205",10,"4,797","3,785","7,356","2,612",949,10,"3,571","3,785","1,226",970,256,"1,226",0,397,310,87,397,0,705,101,3,104,601,697,93,3,96,601,8,8,8,0,"1,036",190,355,1,546,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,29,"80,590","66,893","9,405",189,"76,487","4,103","32,643","22,476","5,935",189,"28,600","4,043","47,947","44,417","3,470","47,887",60,"14,338","13,061","1,258","14,319",19,"7,212","4,609",174,"4,783","2,429","4,350","1,773",174,"1,947","2,403","2,862","2,836","2,836",26,"2,542",754,"1,273",58,"2,085",457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,9,"11,823","7,043","3,604",73,"10,720","1,103","7,704","4,702","1,994",73,"6,769",935,"4,119","2,341","1,610","3,951",168,"1,314",723,538,"1,261",53,"1,481",977,32,"1,009",472,"1,340",862,32,894,446,141,115,115,26,"1,236",547,554,1,"1,102",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,8,"4,191","2,499",710,50,"3,259",932,"2,964","1,839",402,50,"2,291",673,"1,227",660,308,968,259,400,219,103,322,78,671,397,19,416,255,585,347,19,366,219,86,50,50,36,408,182,77,14,273,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,7,"12,164","2,767","3,324",10,"6,101","6,063","7,988","2,079","1,576",10,"3,665","4,323","4,176",688,"1,748","2,436","1,740","1,275",224,562,786,489,"2,695",567,10,577,"2,118","2,207",495,10,505,"1,702",488,72,72,416,"1,292",353,349,0,702,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,18,"15,333","7,733","6,294",274,"14,301","1,032","8,359","4,721","2,425",274,"7,420",939,"6,974","3,012","3,869","6,881",93,"2,384","1,018","1,339","2,357",27,"1,607",927,207,"1,134",473,"1,449",776,207,983,466,158,151,151,7,"1,411",503,762,71,"1,336",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2,"4,132",406,936,64,"1,406","2,726","3,432",335,620,64,"1,019","2,413",700,71,316,387,313,208,30,100,130,78,"2,063",146,48,194,"1,869","1,567",146,48,194,"1,373",496,0,0,496,87,7,36,2,45,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,1,"1,190",803,345,22,"1,170",20,779,590,149,22,761,18,411,213,196,409,2,132,66,65,131,1,204,177,21,198,6,204,177,21,198,6,0,0,0,0,108,30,77,1,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,4,"5,057","1,782","1,455",12,"3,249","1,808","3,813","1,364",876,12,"2,252","1,561","1,244",418,579,997,247,445,136,201,337,108,273,88,12,100,173,273,88,12,100,173,0,0,0,0,703,138,261,0,399,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,1,885,528,302,0,830,55,490,321,129,0,450,40,395,207,173,380,15,121,65,52,117,4,118,92,0,92,26,81,68,0,68,13,37,24,24,13,132,34,94,0,128,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,10,"9,415","4,160","2,206",17,"6,383","3,032","6,800","3,278","1,398",17,"4,693","2,107","2,615",882,808,"1,690",925,804,271,227,498,306,"2,195","1,347",17,"1,364",831,"1,904","1,152",17,"1,169",735,291,195,195,96,"1,142",523,397,0,920,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,12,"28,495","10,601","7,494",133,"18,228","10,267","19,177","6,583","3,042",133,"9,758","9,419","9,318","4,018","4,452","8,470",848,"2,784","1,193","1,356","2,549",235,"5,416","2,140",91,"2,231","3,185","4,952","1,801",91,"1,892","3,060",464,339,339,125,"2,718",821,748,7,"1,576","1,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3,"3,081","1,762",959,47,"2,768",313,"1,729","1,145",348,47,"1,540",189,"1,352",617,611,"1,228",124,398,203,177,380,18,422,335,45,380,42,386,301,45,346,40,36,34,34,2,317,93,200,0,293,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,16,"7,020","4,281","1,987",62,"6,330",690,"4,234","2,876",632,62,"3,570",664,"2,786","1,405","1,355","2,760",26,883,457,416,873,10,"1,021",681,49,730,291,965,625,49,674,291,56,56,56,0,620,315,210,10,535,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,1,448,51,34,0,85,363,425,32,30,0,62,363,23,19,4,23,0,9,8,1,9,0,88,1,0,1,87,88,1,0,1,87,0,0,0,0,32,1,0,0,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2,"1,559","1,031",359,6,"1,396",163,823,536,162,6,704,119,736,495,197,692,44,239,161,60,221,18,283,224,4,228,55,199,155,4,159,40,84,69,69,15,120,34,77,0,111,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,7,"18,442","6,202","6,296",42,"12,540","5,902","11,390","4,280","1,935",42,"6,257","5,133","7,052","1,922","4,361","6,283",769,"2,182",589,"1,342","1,931",251,"2,535","1,099",30,"1,129","1,406","2,311",985,30,"1,015","1,296",224,114,114,110,"1,433",570,517,2,"1,089",344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,4,"6,055","3,111","2,541",60,"5,712",343,"2,929","1,772",844,60,"2,676",253,"3,126","1,339","1,697","3,036",90,"1,007",422,555,977,30,524,426,21,447,77,436,338,21,359,77,88,88,88,0,520,162,331,3,496,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4,"2,013","1,189",381,13,"1,583",430,"1,488",928,234,13,"1,175",313,525,261,147,408,117,173,83,48,131,42,482,300,4,304,178,424,275,4,279,145,58,25,25,33,333,213,90,0,303,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1,757,268,295,0,563,194,463,209,118,0,327,136,294,59,177,236,58,89,18,58,76,13,144,104,0,104,40,105,86,0,86,19,39,18,18,21,116,38,57,0,95,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2,"1,956","1,127",512,0,"1,639",317,"1,342",792,292,0,"1,084",258,614,335,220,555,59,180,94,69,163,17,222,81,0,81,141,182,70,0,70,112,40,11,11,29,180,106,43,0,149,31,155,79,44,0,123,32,24,13,5,0,18,6,131,66,39,0,105,26,18,8,10,18,0,0,0,0,0,0,18,8,10,18,0,21,9,12,21,0
AL,8,"3,970","1,574","1,349",20,"2,943","1,027","2,868","1,146",910,20,"2,076",792,"1,102",428,439,867,235,360,140,147,287,73,607,166,2,168,439,557,155,2,157,400,50,11,11,39,474,211,187,1,399,75,228,115,53,0,168,60,32,25,2,0,27,5,196,90,51,0,141,55,25,10,11,21,4,5,3,2,5,0,20,7,9,16,4,35,12,17,29,6
AR,7,"2,560","1,161",515,2,"1,678",882,"1,833",722,365,2,"1,089",744,727,439,150,589,138,240,145,53,198,42,623,319,0,319,304,524,234,0,234,290,99,85,85,14,456,246,139,0,385,71,188,57,38,0,95,93,0,0,0,0,0,0,188,57,38,0,95,93,22,17,5,22,0,0,0,0,0,0,22,17,5,22,0,20,10,10,20,0
AZ,3,"9,896","3,395","3,504",40,"6,939","2,957","6,548","2,147","1,637",40,"3,824","2,724","3,348","1,248","1,867","3,115",233,"1,002",378,559,937,65,"1,366",323,21,344,"1,022","1,246",276,21,297,949,120,47,47,73,"1,220",227,442,3,672,548,621,218,232,0,450,171,83,68,11,0,79,4,538,150,221,0,371,167,166,44,112,156,10,6,1,5,6,0,160,43,107,150,10,194,51,134,185,9
CA,43,"115,738","22,750","19,128",161,"42,039","73,699","93,156","14,735","9,947",161,"24,843","68,313","22,582","8,015","9,181","17,196","5,386","7,195","2,592","3,001","5,593","1,602","32,227","4,975",102,"5,077","27,150","29,178","4,067",102,"4,169","25,009","3,049",908,908,"2,141","11,311","1,940","2,337",32,"4,309","7,002","10,416",974,"1,487",3,"2,464","7,952",892,172,88,0,260,632,"9,524",802,"1,399",3,"2,204","7,320",854,234,536,770,84,11,2,9,11,0,843,232,527,759,84,"1,160",341,698,"1,039",121
CO,3,"9,953","3,782","3,328",24,"7,134","2,819","5,729","2,630","1,085",24,"3,739","1,990","4,224","1,152","2,243","3,395",829,"1,242",356,640,996,246,"1,877",858,24,882,995,"1,572",730,24,754,818,305,128,128,177,950,376,266,2,644,306,566,193,166,1,360,206,82,13,61,0,74,8,484,180,105,1,286,198,171,48,98,146,25,1,0,0,0,1,170,48,98,146,24,226,61,136,197,29
CT,3,"4,047","2,418","1,003",0,"3,421",626,"2,719","1,615",509,0,"2,124",595,"1,328",803,494,"1,297",31,456,271,174,445,11,583,278,0,278,305,538,240,0,240,298,45,38,38,7,282,80,161,0,241,41,124,70,22,0,92,32,11,11,0,0,11,0,113,59,22,0,81,32,43,24,17,41,2,0,0,0,0,0,43,24,17,41,2,65,36,27,63,2
DC,1,"7,298","5,085","1,669",0,"6,754",544,"3,821","2,612",665,0,"3,277",544,"3,477","2,473","1,004","3,477",0,"1,131",768,363,"1,131",0,"1,790","1,470",0,"1,470",320,"1,593","1,273",0,"1,273",320,197,197,197,0,408,247,119,0,366,42,200,103,80,0,183,17,7,7,0,0,7,0,193,96,80,0,176,17,366,262,104,366,0,0,0,0,0,0,366,262,104,366,0,544,385,159,544,0
DE,1,953,529,387,0,916,37,602,361,204,0,565,37,351,168,183,351,0,115,53,62,115,0,80,75,0,75,5,64,59,0,59,5,16,16,16,0,79,44,30,0,74,5,57,26,30,0,56,1,3,1,2,0,3,0,54,25,28,0,53,1,21,8,13,21,0,0,0,0,0,0,21,8,13,21,0,41,16,25,41,0
FL,27,"35,900","9,894","8,865",124,"18,883","17,017","26,325","6,653","5,256",124,"12,033","14,292","9,575","3,241","3,609","6,850","2,725","3,053",996,"1,111","2,107",946,"6,540","1,328",55,"1,383","5,157","6,021","1,155",55,"1,210","4,811",519,173,173,346,"3,926",834,"1,510",28,"2,372","1,554","2,371",654,551,2,"1,207","1,164",593,207,114,0,321,272,"1,778",447,437,2,886,892,315,149,129,278,37,10,6,4,10,0,305,143,125,268,37,449,191,206,397,52
